--- File System Analysis Report ---
Operating System: Windows
Analyzed Directory: C:\
Report Generated: 2025-05-24 22:30:45

--- Overall Summary ---
Total Directories Scanned (walked into): 341290
Total File-like Entries Processed (from os.walk 'files' list): 1380718
Total Directory Symbolic Links Found (in os.walk 'dirs' list): 5
Total Hidden Items Found (Files & Dir Symlinks): 1369
Skipped items due to access/read errors: 70

--- File & Entry Types Summary (Count & Size of Type Entry) ---
Extension/Type                      Count   Total Size (Bytes)
-----------------------------------------------------------------
.<no_ext>                          203403          59984762733
.png                               129718           2460313719
.dll                                96491          69737186981
.manifest                           78642            401510719
.js                                 69621           4625144201
.xml                                61036            839890458
.py                                 43373            605075358
.cat                                40298            967932211
.mui                                39956            359791054
.m                                  37804            122244991
.mum                                36402             92951732
.svg                                35956            213193885
.pyc                                33755            530301878
.json                               30623            911975706
.pyi                                23963             54801508
.h                                  16074            308064310
.txt                                15677            561195279
.jpg                                15404          13968672970
.res                                12489             62088973
.exe                                11232          20104853422
.p                                  11054              8248684
.ts                                 10798            413007058
.html                                9732            472597480
.gif                                 7882            276845405
.pri                                 6912            489346851
.log                                 6871           1408103443
.gz                                  6757            571326461
.map                                 6037            461291574
.rst                                 5979              8554498
.md                                  5813             39137774
.md5                                 5537               188596
.jar                                 5308          10172720754
.ccz                                 5282            763349537
.xrm-ms                              5217             61772793
.dcp                                 4445            868978828
.css                                 4407            299336088
.pak                                 4131           4594190457
.meta                                4110              1186757
.cmake                               4089             17122344
.dat                                 3971           3816097962
.len                                 3903                31224
.rtf                                 3695             92442800
.rights                              3502             16688261
.lua                                 3297             93987624
.inf                                 3239            182067107
.lcp                                 3226            456720098
.class                               3179             20272078
.sys                                 3047          15010094516
.ocl                                 2954            436068096
.adml                                2949              8351872
.cdf-ms                              2703              5395936
.bin                                 2554           1413981785
.ini                                 2456             48946516
.qml                                 2421             12464861
.ttf                                 2388            946088948
.properties                          2357             43695848
.mfl                                 2237             22150259
.pl                                  2163             19121068
.bmp                                 2113            184493777
.inf_loc                             2092              6685604
.etl                                 1959            491920593
.woff                                1910             71256959
.hpp                                 1862             20271229
.rds                                 1842              4987131
.diff                                1802               585829
.shasum                              1789                 8840
.sig                                 1766               488336
.cso                                 1723             36491398
.bo                                  1698                86040
.pm                                  1696             36455119
.jpeg                                1695            445163383
.eddx                                1670            133912557
.winmd                               1664            143680032
.kfg                                 1657              1636036
.epr                                 1618             95125098
.vim                                 1604             12054948
.cdxml                               1556              9604962
.mof                                 1539             55844657
.bpf                                 1526               220723
.sav                                 1459           6130785811
.lnk                                 1455              1223506
.r                                   1441              6443840
.translation                         1431            155062773
.java                                1396              3338918
.webp                                1395             83181242
.tcl                                 1386             11970385
.sha1                                1349                54156
.pyd                                 1301           1602791173
.ps1                                 1300              6240722
.mo                                  1284             80067046
.wmf                                 1280             16544682
.sbb                                 1248            105153350
.xmp                                 1232             46174447
.old                                 1217             16947990
.hyb                                 1195             40788855
.a                                   1179            132141439
.mp4                                 1148          35136366040
.ps1xml                              1110             10960628
.wma                                 1079            185791797
.ico                                 1075             70098503
.as                                  1042              7704549
.swf                                 1019            430477372
.wav                                 1006            225050225
.gitignore                            998               550842
.htm                                  972             15309432
.aex                                  960            408823808
.version                              952               223068
.lng                                  949             57346247
.lib                                  933            228943988
.resx                                 926              3417296
.xsl                                  909             33584826
.msg                                  905            321843132
.info                                 903            145210596
.xsd                                  899             21537818
.mp3                                  891            137399910
.pom                                  880              7887548
.c                                    875             45436702
.file                                 865           1370037235
.repositories                         859               172968
.csv                                  850            206365970
.storage                              840             26718208
.resjson                              821            121647716
.inc                                  817             50788110
.psd1                                 815              3362986
.0                                    798             48716915
.man                                  775             15588854
.ldb                                  762            602613693
.config                               747              4136125
.scss                                 733              3156516
.mun                                  720            337357116
.dectest                              715             22086473
.at                                   696              6225695
.tga                                  671             21966754
.strings                              661              5859639
.pdf                                  650           1219375582
.ver                                  645                24186
.xbf                                  643              1714930
.exv                                  639              3530328
.qmlc                                 626              8485420
.yml                                  616               704990
.p7x                                  614              5703855
.admx                                 609              7784085
.db                                   606           5204595428
.1                                    602            146392044
.sse                                  582            122315842
.cab                                  575           1982173065
.sql                                  571             10823510
.toml                                 569               119577
.clz                                  564              6577260
.cubin                                556           1043539040
.mat                                  545            165156882
.fch                                  541              1650025
.enc                                  530              9064315
.idl                                  522             19928926
.cur                                  516             16938945
.phl                                  516                48918
.wer                                  500             14610190
.eve                                  494              1800341
.save                                 494             86286279
.pnf                                  487             49680612
.edl                                  481             33098160
.edt                                  480            601818940
.cpp                                  478              3359153
.data                                 467           2727731505
.jsonrsa                              465               244864
.aux                                  453               740238
.jcp                                  451                74865
.otf                                  447            276052433
.in                                   447              1465928
.rdb                                  437             94540616
.rdx                                  437               771241
.qm                                   416             48069395
.jsx                                  413              8585490
.mjs                                  409             11886301
.styl                                 405               671894
.po                                   404              4515983
.replay                               404              5914959
.nls                                  401             67039174
.msc                                  395             16579879
.sqpreset                             392              2403217
.keystream                            387             30998528
.psm1                                 386             12516548
.fon                                  384             10242560
.evtx                                 379            417443840
.crwl                                 367                 9278
.pimx                                 359             77122911
.woff2                                359             10996272
.jmod                                 357            389340955
.aspx                                 345              3359719
.storage_i                            342            131432448
.log1                                 340             33899520
.log2                                 340             57183232
.fingerprint                          337                22242
.ims                                  337               482801
.fla                                  334            134053269
.yaml                                 334             11970664
.rgx                                  318            118108363
.bundle                               316            245090072
.cov                                  312               110674
.layout                               300              6124210
.lock                                 298              1281558
.tlb                                  297             33372012
.pckgdep                              291               835732
.caw                                  290              4556592
.ecm                                  290              4345104
.rgb                                  290              4356704
.vis                                  290              5876240
.nlp                                  288             22258124
.tmp                                  283            114264967
.zip                                  275           2563059995
.idx                                  271             30366218
.mexw64                               271             74492928
.10                                   264             14719532
.webm                                 255            234219787
.icc                                  250             62813804
.rmd                                  249              2413189
.pod                                  242             11878632
.theme                                240              3753056
.itx                                  234            169092240
.mf                                   233              1301805
.toc                                  231              7853912
.exdata                               228                35682
.pagedata                             228             15967494
.xbm                                  226               296870
.ipynb                                222             40061657
.sample                               220               428977
.pdb                                  219            278250328
.rsa                                  217              2000155
.sf                                   216              1220740
.spi1d                                212             90701949
.mdx                                  211              6484050
.sps                                  210               724676
.zdct                                 208              5015158
.typed                                207                 3616
.waptt                                207             11414110
.pb                                   206             10988244
.bik                                  206           3679084204
.cmd                                  202               128949
.2                                    201             80200043
.bnk                                  201            498405533
.cfg                                  198               414201
.cpl                                  198             23653626
.etag                                 197                 6922
.table                                195            102448146
.msi                                  194           6305263458
.l3t                                  193              9316640
.pkg                                  192           1759498949
.pkg_manifest                         192              9461923
.dic                                  191            219583004
.browser                              187              1457741
.bat                                  186               824082
.xhtml                                185              4438246
.torrent                              185              6138208
.pem                                  182              9925565
.pma                                  181            116017256
.aapp                                 180               673950
.prm                                  178            182860248
.pf                                   176              6624390
.mw                                   176            189219122
.catalogitem                          176              1248439
.index                                175            296978111
.node                                 172            149529304
.s                                    171               106484
.spi3d                                169           1547153569
.bcmap                                168              1165667
.cjs                                  167              2493621
.ddj                                  166               584552
.vdf                                  166              5255969
.automaticdestinations-ms             165             20111514
.v2                                   164               753934
.gpd                                  163              1555309
.pxd                                  162              1260996
.values                               159            373008252
.chm                                  158            230296131
.sh                                   155               460779
.mogrt                                154            449728234
.prefs                                154               243116
.mui_0da4e682                         152               449016
.err                                  151             11297892
.f90                                  150                77164
.lck                                  150                    0
.dict                                 149            142079549
.propertymap                          146              4087635
.stringmap                            146              2106050
.variablemap                          146             49652996
.awk                                  143               141519
.abundle                              140            563046584
.plist                                137              1963987
.afm                                  136              2980385
.so                                   136            589420628
.cs                                   133               584662
.proto                                133               578031
.xnb                                  133            189849222
.essentialsound                       132                96574
